Platform,Course Title,Content Developer,Equivalent AU,Course Type,Enrolment Date,Free for NTU students
FutureLearn,Big Data: Measuring And Predicting Human Behaviour,The University of Warwick,2,GER-PE (STS) / UE / BDE: All programmes except ECDS,19-Aug-20,No
Coursera,From Data to Insights with Google Cloud Platform Specialization (There are 4 courses in this Specialization),Google Cloud,1,UE / BDE: All programmes,22-Jan-21,No
Open edX,F1Tenth (Refer to Annex A for more details),University of Pennsylvania & NTU,3,UE / BDE: All programmes,20-Aug-21,No
Coursera,Learning How to Learn and Mindshift: Breaking Through Obstacles to Learning and Discover your Hidden Potential (Refer to Annex B for more details),Deep Teaching Solutions & McMaster University,1,UE / BDE: All programmes,22-Aug-22,No
FutureLearn,"DNA, Genetics, and Genomics: Understanding their Importance in Health and Cancer (There are 3 courses in this Specialization ExpertTrack)",University of Glasgow,2,GER-PE (STS) / UE / BDE: All programmes,2-Mar-23,No
FutureLearn,The Discovery of the Higgs Boson Particle,The University of Edinburgh,1,UE / BDE: All programmes,2-Mar-23,No
FutureLearn,"Digital Marketing: Coding, UX, and Creating Digital Content (There are 4 courses in this Specialization ExpertTrack) Note: Students are recommended to read ¡®SC1003 Introduction to Computational Thinking and Programming¡¯ (or equivalent course) before enrolling in this MOOC.",University of Leeds,1,UE / BDE: All programmes,1-May-23,No
FutureLearn,Functional Programming in Haskell: Supercharge Your Coding Note: Students are recommended to read ¡®SC1003 Introduction to Computational Thinking and Programming¡¯ (or equivalent course) before enrolling in this MOOC.,University of Glasgow,1,UE / BDE: All programmes,1-May-23,No
FutureLearn,Literature in the Digital Age: from Close Reading to Distant Reading,University of Basel,1,UE / BDE: All programmes,1-May-23,No
FutureLearn,Demystifying Mindfulness,Leiden University,3,UE / BDE: All programmes,8-May-23,No
FutureLearn,Partnering for Change: Link Research to Societal Challenges,University of Basel,1,UE / BDE: All programmes,8-May-23,No
FutureLearn,The Mind is Flat: The Shocking Shallowness of Human Psychology,University of Warwick,1,UE / BDE: All programmes,8-May-23,No
FutureLearn,Blended Learning Essentials: Getting Started,University of Leeds,1,UE / BDE: All programmes,16-May-23,No
Coursera,VLSI CAD Part I: Logic Note: Students are recommended to read ¡®SC1003 Introduction to Computational Thinking and Programming¡¯ (or equivalent course) before enrolling in this MOOC.,University of Illinois at Urbana-Champaign,1,UE / BDE: All programmes,13-Sept-23,No
Coursera,VLSI CAD Part II: Layout Note: ? Students are recommended to read ¡®SC1003 Introduction to Computational Thinking and Programming¡¯ (or equivalent course) before enrolling in this MOOC. ? Students should complete ¡®VLSI CAD Part I: Logic¡¯ (Coursera) before enrolling in this MOOC.,University of Illinois at Urbana-Champaign,1,UE / BDE: All programmes,13-Sept-23,No
edX,Automata Theory Note: Students are recommended to read ¡®MH1812 Discrete Mathematics¡¯ (or equivalent course) before enrolling in this MOOC.,Stanford University,2,UE / BDE: All programmes,13-Sept-23,No
Coursera,Deep Learning Specialization Note: Students are recommended to read ¡®SC1003 Introduction to Computational Thinking and Programming¡¯ and ¡®SC1004 Linear Algebra for Computing¡¯ (or equivalent courses) before enrolling in this MOOC.,DeepLearning.AI,3,UE / BDE: All programmes,2-Feb-24,No
Coursera,Google Project Management: Professional Certificate,Google,3,UE / BDE: All programmes,21-Feb-24,No
Coursera,Google IT Support Professional Certificate,Google,3,UE / BDE: All programmes,21-Feb-24,No
Coursera,Google Advanced Data Analytics Professional Certificate Note: Students are recommended to read ¡®SC1015 Introduction to Data Science and Artificial Intelligence¡¯ (or equivalent courses) before enrolling in this MOOC.,Google,3,UE / BDE: All programmes,21-Feb-24,No
Coursera,Google Business Intelligence Professional Certificate,Google,3,GER-PE (BM) / GER-PE (LA) / GER-PE (STS) / UE / BDE: All programmes,14-Mar-24,No
edX,HarvardX: Child Protection: Children's,Harvard University,3,UE / BDE: All programmes,5-Apr-24,No
Coursera,Google UX Design Professional,Google,3,UE / BDE: All programmes,5-Nov-24,No
Coursera,"Modern Robotics: Mechanics,",Northwestern University,3,UE / BDE: All programmes except for BEng (Robotics) and ME (RMS) students.,8-Feb-25,No
Coursera,Genomic Data Science Specialization,Johns Hopkins University,2,UE / BDE: All programmes,26-Feb-25,No
Coursera,IBM AI Engineering Professional,IBM,3,UE / BDE: All programmes,30-Mar-25,No
Coursera,Google Digital Marketing & E-,Google,3,GER-PE (BM) / GER-PE (LA) / GER-PE (STS) / UE / BDE: All programmes,31-Mar-25,No
Coursera,Google Data Analytics Professional,Google,3,"GER-PE (BM) / GER-PE (LA) / GER-PE (STS) / UE / BDE: All programmes except ACDA, BASA",9-Jun-25,No
